id,category,issued_date,address
1297,other,2021-02-17,toronto
1298,other,2021-02-12,toronto
1299,other,2021-02-24,toronto
1300,other,2021-03-03,toronto
1301,other,2021-03-25,toronto
1302,other,2021-03-12,toronto
1303,other,2021-04-25,toronto
1304,other,2021-05-06,toronto
1305,other,2021-06-29,markham
1306,other,2021-05-31,toronto
1307,other,2021-06-16,toronto
1308,other,2021-06-21,toronto
1309,other,2021-07-14,toronto
1310,other,2021-08-17,toronto
1311,other,2021-09-02,brampton
1312,other,2021-09-17,pickering
1313,other,2021-09-24,concord
1314,other,2021-09-29,toronto
1315,other,2021-10-08,toronto
1316,other,2022-01-27,toronto
1317,other,2021-10-25,toronto
1318,other,2021-12-09,toronto
1319,other,2022-02-01,toronto
1320,other,2022-02-10,toronto
1321,other,2022-01-26,toronto
1322,other,2022-03-03,toronto
1323,other,2022-02-17,markham
1324,other,2022-03-16,woodbridge
1325,other,2022-03-23,cambridge
1326,other,2022-04-06,toronto
1327,other,2022-04-07,richmond hill
1328,other,2022-04-14,richmond hill
1329,other,2022-05-19,toronto
1330,other,2022-05-26,toronto
1331,other,2022-06-06,brampton
1332,other,2022-06-14,toronto
1333,other,2022-06-23,toronto
1334,other,2022-06-29,toronto
1335,other,2022-07-06,toronto
1336,other,2022-07-19,toronto
1337,other,2022-08-30,bolton
1338,other,2022-08-19,toronto
1339,other,2023-05-15,toronto
1340,other,2022-10-20,toronto
1341,other,2022-10-27,woodbridge
1342,other,2022-11-03,toronto
1343,other,2022-11-14,toronto
1344,other,2022-11-16,toronto
1345,other,2022-11-17,thornhill
1346,other,2022-11-17,toronto
1347,other,2022-12-21,ajax
1348,other,2023-01-06,ajax
1349,other,2023-01-18,mississauga
1350,other,2023-02-15,toronto
1351,other,2023-02-27,toronto
1352,other,2023-02-28,toronto
1353,other,2023-03-01,toronto
1354,other,2023-03-09,toronto
1355,other,2023-03-20,toronto
1356,other,2023-03-23,toronto
1357,other,2023-03-23,brampton
1358,other,2023-03-29,richmond hill
1359,other,2023-04-14,toronto
1360,other,2023-06-01,toronto
1361,other,2023-05-19,toronto
1362,other,2023-05-24,toronto
1363,other,2023-05-30,toronto
1364,other,2023-06-30,toronto
1365,other,2023-07-19,toronto
1366,other,2023-07-25,toronto
1367,other,2023-08-09,toronto
1368,other,2023-08-09,toronto
1369,other,2023-08-29,toronto
1370,other,2023-08-30,markham
1371,other,2023-09-20,trenton
1372,other,2023-09-28,ajax
1373,other,2023-10-16,ajax
1374,other,2023-11-03,toronto
1375,other,2023-11-06,toronto
1376,other,2023-12-11,toronto
1377,other,2023-12-18,ajax
1685,other,2018-01-10,toronto
1695,other,2018-02-28,toronto
1701,other,2018-07-16,toronto
1707,other,2018-01-01,toronto
1722,other,2018-02-15,toronto
1723,other,2018-11-27,toronto
1724,other,2018-12-11,toronto
1725,other,2019-03-28,toronto
1726,other,2019-04-02,toronto
1730,other,2018-03-19,toronto
1731,other,2019-03-05,toronto
1733,other,2019-05-27,toronto
1734,other,2018-11-05,toronto
1740,other,2018-11-13,toronto
1742,other,2019-01-25,toronto
1744,other,2018-02-02,toronto
1745,other,2020-03-17,toronto
1749,other,2020-09-11,toronto
1750,other,2020-09-11,toronto
1751,other,2020-09-11,toronto
1752,other,2020-09-11,toronto
1753,other,2020-09-11,toronto
1754,other,2020-09-11,toronto
1755,other,2020-09-11,toronto
1756,other,2020-09-11,toronto
1761,other,2019-07-24,toronto
1763,other,2020-08-12,toronto
1765,other,2020-09-06,toronto
1766,other,2020-09-11,toronto
1767,other,2020-09-11,toronto
1768,other,2020-09-11,toronto
1769,other,2020-09-11,toronto
1770,other,2020-09-11,toronto
1771,other,2020-09-11,toronto
1772,other,2020-09-11,toronto
1773,other,2020-09-11,toronto
1774,other,2020-09-11,toronto
1777,other,2021-09-13,toronto
1778,other,2021-01-10,toronto
1841,other,2018-04-12,toronto
1842,other,2018-02-13,toronto
1843,other,2018-04-17,toronto
1844,other,2018-10-03,toronto
1845,other,2018-10-11,toronto
1846,other,2018-11-06,toronto
1847,other,2018-12-06,toronto
1848,other,2019-01-02,toronto
1849,other,2019-02-08,toronto
1850,other,2019-03-04,toronto
1851,other,2019-06-18,toronto
1852,other,2019-08-27,toronto
1853,other,2019-11-01,toronto
1854,other,2019-11-01,toronto
1855,other,2019-12-17,toronto
1856,other,2020-02-21,toronto
1857,other,2020-01-23,toronto
1858,other,2020-02-04,toronto
1859,other,2020-02-25,toronto
1860,other,2020-03-09,toronto
1861,other,2020-06-01,toronto
1862,other,2020-10-21,toronto
1863,other,2020-11-17,toronto
1864,other,2021-03-06,toronto
1865,other,2021-07-06,toronto
1866,other,2021-04-27,toronto
1867,other,2021-09-13,toronto
1868,other,2021-09-13,toronto
1869,other,2021-09-13,toronto
1870,other,2021-09-13,toronto
1871,other,2021-09-13,toronto
1872,other,2021-09-13,toronto
1873,other,2021-09-13,toronto
1874,other,2021-12-23,toronto
1875,other,2022-01-19,toronto
1876,other,2022-02-01,toronto
1877,other,2022-01-07,toronto
1878,other,2022-01-26,toronto
1879,other,2022-04-28,toronto
1880,other,2022-03-08,toronto
1881,other,2022-06-06,toronto
1882,other,2022-04-19,toronto
1883,other,2022-06-16,toronto
1884,other,2022-07-21,toronto
1885,other,2022-09-13,toronto
1886,other,2023-04-25,toronto
1887,other,2023-07-12,toronto
1888,other,2023-08-04,toronto
1889,other,2023-12-19,toronto
3395,holistic_centre,2018-04-19,toronto
3397,holistic_centre,2018-05-30,toronto
3420,holistic_centre,2018-06-22,toronto
3436,holistic_centre,2018-08-13,toronto
3442,holistic_centre,2018-08-30,toronto
3447,holistic_centre,2018-10-22,toronto
3450,holistic_centre,2018-10-16,toronto
3451,holistic_centre,2018-03-26,toronto
3452,holistic_centre,2018-12-18,toronto
3453,holistic_centre,2018-02-22,toronto
3460,holistic_centre,2018-09-13,toronto
3463,holistic_centre,2018-03-06,toronto
3464,holistic_centre,2018-01-10,toronto
3468,holistic_centre,2018-08-22,toronto
3475,holistic_centre,2018-09-20,toronto
3484,holistic_centre,2019-02-12,toronto
3486,holistic_centre,2019-06-28,toronto
3489,holistic_centre,2018-06-27,toronto
3492,holistic_centre,2018-10-01,toronto
3494,holistic_centre,2018-12-18,toronto
3500,holistic_centre,2018-07-31,toronto
3502,holistic_centre,2019-07-08,toronto
3504,holistic_centre,2019-03-20,toronto
3506,holistic_centre,2019-08-06,toronto
3514,holistic_centre,2018-07-06,toronto
3523,holistic_centre,2018-10-23,toronto
3526,holistic_centre,2018-06-26,toronto
3527,holistic_centre,2018-11-22,toronto
3529,holistic_centre,2019-11-04,toronto
3532,holistic_centre,2018-01-08,toronto
3533,holistic_centre,2018-08-15,toronto
3535,holistic_centre,2018-02-02,toronto
3538,holistic_centre,2019-02-26,toronto
3549,holistic_centre,2019-08-22,toronto
3550,holistic_centre,2019-08-23,toronto
3570,holistic_centre,2018-06-22,toronto
3571,holistic_centre,2019-05-09,toronto
3572,holistic_centre,2019-06-25,toronto
3575,holistic_centre,2019-08-20,toronto
3576,holistic_centre,2018-12-10,toronto
3577,holistic_centre,2018-08-24,toronto
3583,holistic_centre,2018-08-14,toronto
3587,holistic_centre,2019-10-04,toronto
3589,holistic_centre,2019-11-15,toronto
3593,holistic_centre,2019-10-21,toronto
3594,holistic_centre,2019-11-26,toronto
3595,holistic_centre,2018-10-31,toronto
3598,holistic_centre,2018-03-05,toronto
3604,holistic_centre,2018-12-14,toronto
3605,holistic_centre,2019-12-16,toronto
3606,holistic_centre,2020-01-21,toronto
3607,holistic_centre,2019-06-18,toronto
3608,holistic_centre,2018-10-02,toronto
3609,holistic_centre,2021-04-03,toronto
3611,holistic_centre,2018-01-08,toronto
3614,holistic_centre,2020-01-28,toronto
3616,holistic_centre,2019-02-11,toronto
3618,holistic_centre,2019-05-15,toronto
3619,holistic_centre,2018-05-07,toronto
3620,holistic_centre,2020-02-24,toronto
3628,holistic_centre,2020-07-22,toronto
3632,holistic_centre,2019-03-01,toronto
3635,holistic_centre,2019-06-26,toronto
3636,holistic_centre,2020-11-13,toronto
3638,holistic_centre,2019-03-18,toronto
3639,holistic_centre,2019-04-23,toronto
3640,holistic_centre,2018-11-21,toronto
3642,holistic_centre,2019-09-25,toronto
3646,holistic_centre,2021-09-24,toronto
3649,holistic_centre,2020-09-22,toronto
3654,holistic_centre,2020-03-10,toronto
3658,holistic_centre,2018-01-15,toronto
3663,holistic_centre,2018-01-30,toronto
3665,holistic_centre,2021-01-01,toronto
3668,holistic_centre,2021-10-05,toronto
3672,holistic_centre,2021-05-28,toronto
3674,holistic_centre,2019-09-11,toronto
3675,holistic_centre,2021-10-30,toronto
3676,holistic_centre,2019-04-18,toronto
3677,holistic_centre,2018-05-18,toronto
3679,holistic_centre,2019-07-31,toronto
3680,holistic_centre,2019-12-12,toronto
3682,holistic_centre,2018-03-07,toronto
3683,holistic_centre,2021-12-26,toronto
3684,holistic_centre,2022-08-15,toronto
3685,holistic_centre,2019-11-04,toronto
3686,holistic_centre,2020-09-03,toronto
3688,holistic_centre,2021-12-02,toronto
3690,holistic_centre,2021-04-13,toronto
3691,holistic_centre,2022-07-11,toronto
3692,holistic_centre,2020-02-04,toronto
3694,holistic_centre,2021-10-26,toronto
3695,holistic_centre,2021-10-29,toronto
3696,holistic_centre,2020-12-15,toronto
3697,holistic_centre,2021-11-29,toronto
3698,holistic_centre,2021-12-22,toronto
3699,holistic_centre,2020-11-06,toronto
3700,holistic_centre,2021-04-10,toronto
3701,holistic_centre,2022-03-31,toronto
3702,holistic_centre,2022-05-15,toronto
3704,holistic_centre,2022-04-15,toronto
3706,holistic_centre,2019-11-26,toronto
3707,holistic_centre,2020-10-21,toronto
3709,holistic_centre,2018-04-06,toronto
3710,holistic_centre,2023-04-29,toronto
3712,holistic_centre,2022-01-11,toronto
3715,holistic_centre,2022-06-16,toronto
3716,holistic_centre,2023-01-24,toronto
3718,holistic_centre,2022-06-29,toronto
3724,holistic_centre,2022-02-25,toronto
3726,holistic_centre,2021-07-06,toronto
3729,holistic_centre,2022-11-25,toronto
3730,holistic_centre,2022-09-30,toronto
3732,holistic_centre,2021-10-06,toronto
3733,holistic_centre,2022-12-14,toronto
3734,holistic_centre,2022-11-16,toronto
3735,holistic_centre,2019-10-23,toronto
3877,holistic_centre,2018-01-04,toronto
3878,holistic_centre,2018-01-03,toronto
3879,holistic_centre,2018-01-09,toronto
3880,holistic_centre,2018-02-27,toronto
3881,holistic_centre,2018-02-26,toronto
3882,holistic_centre,2018-03-02,toronto
3883,holistic_centre,2018-03-13,toronto
3884,holistic_centre,2018-03-15,toronto
3885,holistic_centre,2018-03-29,toronto
3886,holistic_centre,2018-03-09,toronto
3887,holistic_centre,2018-05-03,toronto
3888,holistic_centre,2018-10-04,toronto
3889,holistic_centre,2018-04-16,toronto
3890,holistic_centre,2018-05-10,toronto
3891,holistic_centre,2018-05-14,toronto
3892,holistic_centre,2018-06-22,toronto
3893,holistic_centre,2018-06-07,toronto
3894,holistic_centre,2018-05-10,toronto
3895,holistic_centre,2018-06-15,toronto
3896,holistic_centre,2018-06-27,toronto
3897,holistic_centre,2018-07-04,toronto
3898,holistic_centre,2018-07-04,toronto
3899,holistic_centre,2018-08-29,toronto
3900,holistic_centre,2018-10-17,toronto
3901,holistic_centre,2018-10-16,toronto
3902,holistic_centre,2018-10-05,toronto
3903,holistic_centre,2018-12-18,toronto
3904,holistic_centre,2018-11-29,toronto
3905,holistic_centre,2018-12-20,toronto
3906,holistic_centre,2019-01-28,toronto
3907,holistic_centre,2019-02-12,toronto
3908,holistic_centre,2019-03-05,toronto
3909,holistic_centre,2019-03-21,toronto
3910,holistic_centre,2019-03-29,toronto
3911,holistic_centre,2019-05-09,toronto
3912,holistic_centre,2019-06-07,toronto
3913,holistic_centre,2019-06-18,toronto
3914,holistic_centre,2019-07-19,toronto
3915,holistic_centre,2019-08-09,toronto
3916,holistic_centre,2019-08-20,toronto
3917,holistic_centre,2019-08-27,toronto
3918,holistic_centre,2019-10-07,toronto
3919,holistic_centre,2019-10-01,toronto
3920,holistic_centre,2019-10-01,toronto
